date_key,reading_date,year,month,location_id,locality,timezone,pollutant,unit,reading_count,avg_value,min_value,max_value
20240630,2024-06-30,2024,6,625,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,23,7.4043,1.9,12.6
20240630,2024-06-30,2024,6,626,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,7.2,4.3,10.5
20241115,2024-11-15,2024,11,628,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,7.6917,2.0,37.4
20241124,2024-11-24,2024,11,648,KINGS,America/New_York,pm25,µg/m³,24,2.1417,1.0,3.3
20241011,2024-10-11,2024,10,626,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,3.575,2.6,5.6
20241028,2024-10-28,2024,10,665,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,4.7667,3.3,8.5
20240328,2024-03-28,2024,3,384,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,23,11.9739,4.5,25.3
20240420,2024-04-20,2024,4,384,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,10.2708,3.9,16.1
20240427,2024-04-27,2024,4,665,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,4.5167,3.5,6.1
20240410,2024-04-10,2024,4,496096,RICHMOND,America/New_York,pm25,µg/m³,24,7.15,4.3,9.5
20240611,2024-06-11,2024,6,2453305,,America/New_York,pm25,µg/m³,24,6.9142,5.4,9.0
20240601,2024-06-01,2024,6,2616564,,America/New_York,pm25,µg/m³,24,6.8679,4.35,11.6
20240615,2024-06-15,2024,6,1775647,,America/New_York,pm25,µg/m³,18,11.2844,6.96,18.6
20240625,2024-06-25,2024,6,1824516,,America/New_York,pm25,µg/m³,24,18.1667,15.3,23.0
20241011,2024-10-11,2024,10,2453313,,America/New_York,pm25,µg/m³,24,3.0808,1.49,9.09
20241026,2024-10-26,2024,10,3145068,,America/New_York,pm25,µg/m³,24,8.2596,4.7,14.9
20241019,2024-10-19,2024,10,3145073,,America/New_York,pm25,µg/m³,24,9.4113,6.99,15.5
20240316,2024-03-16,2024,3,2153518,,America/New_York,pm25,µg/m³,20,6.7705,3.01,14.7
20240416,2024-04-16,2024,4,2616564,,America/New_York,pm25,µg/m³,17,3.3153,1.59,6.38
20240422,2024-04-22,2024,4,1775647,,America/New_York,pm25,µg/m³,21,4.5914,2.67,7.35
20240621,2024-06-21,2024,6,626,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,23,11.5304,7.9,16.6
20240618,2024-06-18,2024,6,665,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,9.8042,7.7,22.3
20240614,2024-06-14,2024,6,496096,RICHMOND,America/New_York,pm25,µg/m³,23,7.0478,3.5,10.8
20241106,2024-11-06,2024,11,626,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,23,7.513,4.5,11.6
20241127,2024-11-27,2024,11,928,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,4.9792,1.5,9.5
20241113,2024-11-13,2024,11,496096,RICHMOND,America/New_York,pm25,µg/m³,24,4.8375,0.0,21.1
20241117,2024-11-17,2024,11,496096,RICHMOND,America/New_York,pm25,µg/m³,24,4.6542,2.6,7.2
20241129,2024-11-29,2024,11,496096,RICHMOND,America/New_York,pm25,µg/m³,24,4.8042,2.4,8.3
20241109,2024-11-09,2024,11,664,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,27.8458,5.1,91.6
20241012,2024-10-12,2024,10,384,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,4.5917,3.2,7.0
20241017,2024-10-17,2024,10,625,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,19,2.6,0.0,6.2
20240316,2024-03-16,2024,3,928,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,4.325,0.8,9.1
20240317,2024-03-17,2024,3,292229,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,4.6667,0.7,9.9
20240324,2024-03-24,2024,3,496096,RICHMOND,America/New_York,pm25,µg/m³,24,3.6458,0.0,7.3
20240416,2024-04-16,2024,4,626,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,4.6167,2.7,13.1
20240424,2024-04-24,2024,4,665,New York-Northern New Jersey-Long Island,America/New_York,pm25,µg/m³,24,5.4458,3.1,9.7
20240606,2024-06-06,2024,6,2453305,,America/New_York,pm25,µg/m³,24,18.2096,8.03,33.8
